account_class,audit_id,metric,printed,value,cell_status,unit,source_file,table,printed_page,pdf_page,verification
receivables,81,sd_dollar,0.36,0.36,numeric,as_printed,Neter_Johnson_Leitch_1985_TAR.pdf,3,493,6,rendered primary scan visually verified
receivables,91,sd_dollar,0.17,0.17,numeric,as_printed,Neter_Johnson_Leitch_1985_TAR.pdf,3,493,6,rendered primary scan visually verified
receivables,6,skew_line,2.16,2.16,numeric,as_printed,Neter_Johnson_Leitch_1985_TAR.pdf,3,493,6,rendered primary scan visually verified
receivables,11,skew_line,1.3,1.3,numeric,as_printed,Neter_Johnson_Leitch_1985_TAR.pdf,3,493,6,rendered primary scan visually verified
receivables,15,skew_line,0.21,0.21,numeric,as_printed,Neter_Johnson_Leitch_1985_TAR.pdf,3,493,6,rendered primary scan visually verified
receivables,16,skew_line,1.86,1.86,numeric,as_printed,Neter_Johnson_Leitch_1985_TAR.pdf,3,493,6,rendered primary scan visually verified
receivables,59,skew_line,-0.04,-0.04,numeric,as_printed,Neter_Johnson_Leitch_1985_TAR.pdf,3,493,6,rendered primary scan visually verified
receivables,69,skew_line,0.17,0.17,numeric,as_printed,Neter_Johnson_Leitch_1985_TAR.pdf,3,493,6,rendered primary scan visually verified
receivables,77,skew_line,0.3,0.3,numeric,as_printed,Neter_Johnson_Leitch_1985_TAR.pdf,3,493,6,rendered primary scan visually verified
receivables,80,skew_line,-1.15,-1.15,numeric,as_printed,Neter_Johnson_Leitch_1985_TAR.pdf,3,493,6,rendered primary scan visually verified
receivables,81,skew_line,-3.61,-3.61,numeric,as_printed,Neter_Johnson_Leitch_1985_TAR.pdf,3,493,6,rendered primary scan visually verified
receivables,91,skew_line,-3.21,-3.21,numeric,as_printed,Neter_Johnson_Leitch_1985_TAR.pdf,3,493,6,rendered primary scan visually verified
receivables,6,skew_dollar,1.69,1.69,numeric,as_printed,Neter_Johnson_Leitch_1985_TAR.pdf,3,493,6,rendered primary scan visually verified
receivables,11,skew_dollar,4.73,4.73,numeric,as_printed,Neter_Johnson_Leitch_1985_TAR.pdf,3,493,6,rendered primary scan visually verified
receivables,15,skew_dollar,2.37,2.37,numeric,as_printed,Neter_Johnson_Leitch_1985_TAR.pdf,3,493,6,rendered primary scan visually verified
receivables,16,skew_dollar,8.05,8.05,numeric,as_printed,Neter_Johnson_Leitch_1985_TAR.pdf,3,493,6,rendered primary scan visually verified
receivables,59,skew_dollar,3.56,3.56,numeric,as_printed,Neter_Johnson_Leitch_1985_TAR.pdf,3,493,6,rendered primary scan visually verified
receivables,69,skew_dollar,3.71,3.71,numeric,as_printed,Neter_Johnson_Leitch_1985_TAR.pdf,3,493,6,rendered primary scan visually verified
receivables,77,skew_dollar,0.88,0.88,numeric,as_printed,Neter_Johnson_Leitch_1985_TAR.pdf,3,493,6,rendered primary scan visually verified
receivables,80,skew_dollar,1.56,1.56,numeric,as_printed,Neter_Johnson_Leitch_1985_TAR.pdf,3,493,6,rendered primary scan visually verified
receivables,81,skew_dollar,1.12,1.12,numeric,as_printed,Neter_Johnson_Leitch_1985_TAR.pdf,3,493,6,rendered primary scan visually verified
receivables,91,skew_dollar,-2.34,-2.34,numeric,as_printed,Neter_Johnson_Leitch_1985_TAR.pdf,3,493,6,rendered primary scan visually verified
