account_class,audit_id,metric,printed,value,cell_status,unit,source_file,table,printed_page,pdf_page,verification
receivables,91,sd,.15,0.15,numeric,as_printed,Johnson_Leitch_Neter_1981_TAR.pdf,12,287,18,rendered primary scan visually verified
receivables,6,skewness,2.16,2.16,numeric,as_printed,Johnson_Leitch_Neter_1981_TAR.pdf,12,287,18,rendered primary scan visually verified
receivables,11,skewness,1.30,1.3,numeric,as_printed,Johnson_Leitch_Neter_1981_TAR.pdf,12,287,18,rendered primary scan visually verified
receivables,15,skewness,.21,0.21,numeric,as_printed,Johnson_Leitch_Neter_1981_TAR.pdf,12,287,18,rendered primary scan visually verified
receivables,16,skewness,1.86,1.86,numeric,as_printed,Johnson_Leitch_Neter_1981_TAR.pdf,12,287,18,rendered primary scan visually verified
receivables,59,skewness,-.04,-0.04,numeric,as_printed,Johnson_Leitch_Neter_1981_TAR.pdf,12,287,18,rendered primary scan visually verified
receivables,69,skewness,.17,0.17,numeric,as_printed,Johnson_Leitch_Neter_1981_TAR.pdf,12,287,18,rendered primary scan visually verified
receivables,77,skewness,.30,0.3,numeric,as_printed,Johnson_Leitch_Neter_1981_TAR.pdf,12,287,18,rendered primary scan visually verified
receivables,80,skewness,-1.15,-1.15,numeric,as_printed,Johnson_Leitch_Neter_1981_TAR.pdf,12,287,18,rendered primary scan visually verified
receivables,81,skewness,-3.61,-3.61,numeric,as_printed,Johnson_Leitch_Neter_1981_TAR.pdf,12,287,18,rendered primary scan visually verified
receivables,91,skewness,-3.21,-3.21,numeric,as_printed,Johnson_Leitch_Neter_1981_TAR.pdf,12,287,18,rendered primary scan visually verified
inventory,13,minimum,-21.0,-21.0,numeric,as_printed,Johnson_Leitch_Neter_1981_TAR.pdf,12,287,18,rendered primary scan visually verified
inventory,14,minimum,-1.3,-1.3,numeric,as_printed,Johnson_Leitch_Neter_1981_TAR.pdf,12,287,18,rendered primary scan visually verified
inventory,22,minimum,-23.0,-23.0,numeric,as_printed,Johnson_Leitch_Neter_1981_TAR.pdf,12,287,18,rendered primary scan visually verified
inventory,23,minimum,-23.0,-23.0,numeric,as_printed,Johnson_Leitch_Neter_1981_TAR.pdf,12,287,18,rendered primary scan visually verified
inventory,24,minimum,-1.1,-1.1,numeric,as_printed,Johnson_Leitch_Neter_1981_TAR.pdf,12,287,18,rendered primary scan visually verified
inventory,27,minimum,-26.0,-26.0,numeric,as_printed,Johnson_Leitch_Neter_1981_TAR.pdf,12,287,18,rendered primary scan visually verified
inventory,32,minimum,-3.3,-3.3,numeric,as_printed,Johnson_Leitch_Neter_1981_TAR.pdf,12,287,18,rendered primary scan visually verified
inventory,33,minimum,-9.0,-9.0,numeric,as_printed,Johnson_Leitch_Neter_1981_TAR.pdf,12,287,18,rendered primary scan visually verified
inventory,56,minimum,-.74,-0.74,numeric,as_printed,Johnson_Leitch_Neter_1981_TAR.pdf,12,287,18,rendered primary scan visually verified
inventory,60,minimum,-1.1,-1.1,numeric,as_printed,Johnson_Leitch_Neter_1981_TAR.pdf,12,287,18,rendered primary scan visually verified
inventory,13,maximum,1.00,1.0,numeric,as_printed,Johnson_Leitch_Neter_1981_TAR.pdf,12,287,18,rendered primary scan visually verified
inventory,14,maximum,.78,0.78,numeric,as_printed,Johnson_Leitch_Neter_1981_TAR.pdf,12,287,18,rendered primary scan visually verified
inventory,22,maximum,1.00,1.0,numeric,as_printed,Johnson_Leitch_Neter_1981_TAR.pdf,12,287,18,rendered primary scan visually verified
inventory,23,maximum,1.00,1.0,numeric,as_printed,Johnson_Leitch_Neter_1981_TAR.pdf,12,287,18,rendered primary scan visually verified
inventory,24,maximum,.62,0.62,numeric,as_printed,Johnson_Leitch_Neter_1981_TAR.pdf,12,287,18,rendered primary scan visually verified
inventory,27,maximum,1.00,1.0,numeric,as_printed,Johnson_Leitch_Neter_1981_TAR.pdf,12,287,18,rendered primary scan visually verified
inventory,32,maximum,1.00,1.0,numeric,as_printed,Johnson_Leitch_Neter_1981_TAR.pdf,12,287,18,rendered primary scan visually verified
inventory,33,maximum,1.00,1.0,numeric,as_printed,Johnson_Leitch_Neter_1981_TAR.pdf,12,287,18,rendered primary scan visually verified
inventory,56,maximum,.33,0.33,numeric,as_printed,Johnson_Leitch_Neter_1981_TAR.pdf,12,287,18,rendered primary scan visually verified
inventory,60,maximum,1.00,1.0,numeric,as_printed,Johnson_Leitch_Neter_1981_TAR.pdf,12,287,18,rendered primary scan visually verified
inventory,13,mean,-.70,-0.7,numeric,as_printed,Johnson_Leitch_Neter_1981_TAR.pdf,12,287,18,rendered primary scan visually verified
inventory,14,mean,-.02,-0.02,numeric,as_printed,Johnson_Leitch_Neter_1981_TAR.pdf,12,287,18,rendered primary scan visually verified
inventory,22,mean,-.39,-0.39,numeric,as_printed,Johnson_Leitch_Neter_1981_TAR.pdf,12,287,18,rendered primary scan visually verified
inventory,23,mean,-.13,-0.13,numeric,as_printed,Johnson_Leitch_Neter_1981_TAR.pdf,12,287,18,rendered primary scan visually verified
inventory,24,mean,.08,0.08,numeric,as_printed,Johnson_Leitch_Neter_1981_TAR.pdf,12,287,18,rendered primary scan visually verified
inventory,27,mean,-.29,-0.29,numeric,as_printed,Johnson_Leitch_Neter_1981_TAR.pdf,12,287,18,rendered primary scan visually verified
inventory,32,mean,-.02,-0.02,numeric,as_printed,Johnson_Leitch_Neter_1981_TAR.pdf,12,287,18,rendered primary scan visually verified
inventory,33,mean,-.29,-0.29,numeric,as_printed,Johnson_Leitch_Neter_1981_TAR.pdf,12,287,18,rendered primary scan visually verified
inventory,56,mean,.03,0.03,numeric,as_printed,Johnson_Leitch_Neter_1981_TAR.pdf,12,287,18,rendered primary scan visually verified
inventory,60,mean,.14,0.14,numeric,as_printed,Johnson_Leitch_Neter_1981_TAR.pdf,12,287,18,rendered primary scan visually verified
inventory,13,sd,3.64,3.64,numeric,as_printed,Johnson_Leitch_Neter_1981_TAR.pdf,12,287,18,rendered primary scan visually verified
inventory,14,sd,.34,0.34,numeric,as_printed,Johnson_Leitch_Neter_1981_TAR.pdf,12,287,18,rendered primary scan visually verified
inventory,22,sd,2.97,2.97,numeric,as_printed,Johnson_Leitch_Neter_1981_TAR.pdf,12,287,18,rendered primary scan visually verified
inventory,23,sd,1.98,1.98,numeric,as_printed,Johnson_Leitch_Neter_1981_TAR.pdf,12,287,18,rendered primary scan visually verified
inventory,24,sd,.22,0.22,numeric,as_printed,Johnson_Leitch_Neter_1981_TAR.pdf,12,287,18,rendered primary scan visually verified
inventory,27,sd,2.81,2.81,numeric,as_printed,Johnson_Leitch_Neter_1981_TAR.pdf,12,287,18,rendered primary scan visually verified
inventory,32,sd,.50,0.5,numeric,as_printed,Johnson_Leitch_Neter_1981_TAR.pdf,12,287,18,rendered primary scan visually verified
inventory,33,sd,2.17,2.17,numeric,as_printed,Johnson_Leitch_Neter_1981_TAR.pdf,12,287,18,rendered primary scan visually verified
inventory,56,sd,.15,0.15,numeric,as_printed,Johnson_Leitch_Neter_1981_TAR.pdf,12,287,18,rendered primary scan visually verified
inventory,60,sd,.50,0.5,numeric,as_printed,Johnson_Leitch_Neter_1981_TAR.pdf,12,287,18,rendered primary scan visually verified
inventory,13,skewness,-5.32,-5.32,numeric,as_printed,Johnson_Leitch_Neter_1981_TAR.pdf,12,287,18,rendered primary scan visually verified
inventory,14,skewness,-1.74,-1.74,numeric,as_printed,Johnson_Leitch_Neter_1981_TAR.pdf,12,287,18,rendered primary scan visually verified
inventory,22,skewness,-6.42,-6.42,numeric,as_printed,Johnson_Leitch_Neter_1981_TAR.pdf,12,287,18,rendered primary scan visually verified
inventory,23,skewness,-9.73,-9.73,numeric,as_printed,Johnson_Leitch_Neter_1981_TAR.pdf,12,287,18,rendered primary scan visually verified
inventory,24,skewness,-.68,-0.68,numeric,as_printed,Johnson_Leitch_Neter_1981_TAR.pdf,12,287,18,rendered primary scan visually verified
inventory,27,skewness,-8.44,-8.44,numeric,as_printed,Johnson_Leitch_Neter_1981_TAR.pdf,12,287,18,rendered primary scan visually verified
inventory,32,skewness,-4.18,-4.18,numeric,as_printed,Johnson_Leitch_Neter_1981_TAR.pdf,12,287,18,rendered primary scan visually verified
inventory,33,skewness,-3.56,-3.56,numeric,as_printed,Johnson_Leitch_Neter_1981_TAR.pdf,12,287,18,rendered primary scan visually verified
inventory,56,skewness,-2.29,-2.29,numeric,as_printed,Johnson_Leitch_Neter_1981_TAR.pdf,12,287,18,rendered primary scan visually verified
inventory,60,skewness,.41,0.41,numeric,as_printed,Johnson_Leitch_Neter_1981_TAR.pdf,12,287,18,rendered primary scan visually verified
